"Frequency [Hz]","POINT_1 1"
1.0000000000000e+01,9.9587929768437e+01
2.0000000000000e+01,1.0086757433904e+02
3.0000000000000e+01,1.0333426012157e+02
4.0000000000000e+01,1.0787776551076e+02
5.0000000000000e+01,1.1222459000423e+02
6.0000000000000e+01,1.0508080067304e+02
7.0000000000000e+01,9.9690962432423e+01
8.0000000000000e+01,9.6019038613071e+01
9.0000000000000e+01,9.3260164889604e+01
1.0000000000000e+02,9.1065313324064e+01
1.1000000000000e+02,8.9260270888058e+01
1.2000000000000e+02,8.7746725897533e+01
1.3000000000000e+02,8.6464290613452e+01
1.4000000000000e+02,8.5373748281692e+01
1.5000000000000e+02,8.4448828253663e+01
1.6000000000000e+02,8.3671856798283e+01
1.7000000000000e+02,8.3031370547707e+01
1.8000000000000e+02,8.2520844042527e+01
1.9000000000000e+02,8.2138157163959e+01
2.0000000000000e+02,8.1885690247380e+01
2.1000000000000e+02,8.1771157833737e+01
2.2000000000000e+02,8.1809636700542e+01
2.3000000000000e+02,8.2028067505309e+01
2.4000000000000e+02,8.2476077587052e+01
2.5000000000000e+02,8.3257253620140e+01
2.6000000000000e+02,8.4653478357713e+01
2.7000000000000e+02,8.8072641010838e+01
2.8000000000000e+02,8.0190209742118e+01
2.9000000000000e+02,8.1878858725053e+01
3.0000000000000e+02,8.6252391303421e+01
3.1000000000000e+02,8.9498855619110e+01
3.2000000000000e+02,9.0212522536301e+01
3.3000000000000e+02,8.7420174152985e+01
3.4000000000000e+02,8.4314262583255e+01
3.5000000000000e+02,8.1548794441008e+01
3.6000000000000e+02,7.9512963863680e+01
3.7000000000000e+02,7.8023225334791e+01
3.8000000000000e+02,7.7091595489824e+01
3.9000000000000e+02,7.6823804017578e+01
4.0000000000000e+02,7.7445799785132e+01
4.1000000000000e+02,7.9255539848293e+01
4.2000000000000e+02,8.1354164648328e+01
4.3000000000000e+02,7.9036667320859e+01
4.4000000000000e+02,7.4971385621595e+01
4.5000000000000e+02,7.2263894480758e+01
4.6000000000000e+02,7.0941009894318e+01
4.7000000000000e+02,7.0169601598170e+01
4.8000000000000e+02,7.0225922898224e+01
4.9000000000000e+02,7.0758910058091e+01
5.0000000000000e+02,7.1671591330750e+01
5.1000000000000e+02,7.2930906318711e+01
5.2000000000000e+02,7.4569740445207e+01
5.3000000000000e+02,7.6726648451854e+01
5.4000000000000e+02,7.9829920122575e+01
5.5000000000000e+02,8.5696416496715e+01
5.6000000000000e+02,8.9244858438792e+01
5.7000000000000e+02,6.2011754962420e+01
5.8000000000000e+02,7.6258075167865e+01
5.9000000000000e+02,8.5018733265296e+01
6.0000000000000e+02,9.6928430560254e+01
6.1000000000000e+02,9.2245236590903e+01
6.2000000000000e+02,8.5027767198228e+01
6.3000000000000e+02,7.7912381228961e+01
6.4000000000000e+02,7.1339345682980e+01
6.5000000000000e+02,8.3734197195828e+01
6.6000000000000e+02,8.6667623328839e+01
6.7000000000000e+02,8.9888776215126e+01
6.8000000000000e+02,8.6482671364029e+01
6.9000000000000e+02,8.9870333352027e+01
7.0000000000000e+02,8.7608003676906e+01
7.1000000000000e+02,8.4081458634423e+01
7.2000000000000e+02,8.3871304094247e+01
7.3000000000000e+02,7.3609700007885e+01
7.4000000000000e+02,8.3907804359761e+01
7.5000000000000e+02,8.3147814678492e+01
7.6000000000000e+02,7.8034126504363e+01
7.7000000000000e+02,7.6685932321002e+01
7.8000000000000e+02,7.7219271160196e+01
7.9000000000000e+02,7.9506589050899e+01
8.0000000000000e+02,6.9137999100552e+01
8.1000000000000e+02,7.7043332803262e+01
8.2000000000000e+02,8.3433343779216e+01
8.3000000000000e+02,8.7241677963206e+01
8.4000000000000e+02,9.3952202095459e+01
8.5000000000000e+02,8.2420877643073e+01
8.6000000000000e+02,7.0749294107697e+01
8.7000000000000e+02,8.3364048461872e+01
8.8000000000000e+02,7.4827194362426e+01
8.9000000000000e+02,8.5680505140689e+01
9.0000000000000e+02,1.0856981526414e+02
9.1000000000000e+02,8.0530933889507e+01
9.2000000000000e+02,8.1041069734947e+01
9.3000000000000e+02,8.0120192532679e+01
9.4000000000000e+02,7.9287545390413e+01
9.5000000000000e+02,7.8955863190234e+01
9.6000000000000e+02,8.2174069685067e+01
9.7000000000000e+02,8.1739484740767e+01
9.8000000000000e+02,7.7298767256092e+01
9.9000000000000e+02,7.1818601785931e+01
1.0000000000000e+03,6.5574837834824e+01
1.0100000000000e+03,7.9857642115592e+01
1.0200000000000e+03,8.5320293236150e+01
1.0300000000000e+03,8.5071662956021e+01
1.0400000000000e+03,8.1621195188870e+01
1.0500000000000e+03,7.7881183866134e+01
1.0600000000000e+03,8.1646697080884e+01
1.0700000000000e+03,7.8850625602134e+01
1.0800000000000e+03,7.9507361016694e+01
1.0900000000000e+03,8.5421618730337e+01
1.1000000000000e+03,8.8129606886705e+01
1.1100000000000e+03,9.2975418545904e+01
1.1200000000000e+03,8.9231122138199e+01
1.1300000000000e+03,8.5267673646854e+01
1.1400000000000e+03,8.1217261902390e+01
1.1500000000000e+03,7.6889807418089e+01
1.1600000000000e+03,7.6725029146895e+01
1.1700000000000e+03,8.1123612940716e+01
1.1800000000000e+03,9.7469935250859e+01
1.1900000000000e+03,8.3399082550457e+01
1.2000000000000e+03,6.4218529574795e+01
1.2100000000000e+03,7.2705978715498e+01
1.2200000000000e+03,7.4300432329587e+01
1.2300000000000e+03,8.3368792546395e+01
1.2400000000000e+03,4.9464237427504e+01
1.2500000000000e+03,7.2120990182368e+01
1.2600000000000e+03,7.5778604331868e+01
1.2700000000000e+03,8.0448157586068e+01
1.2800000000000e+03,8.9541094434740e+01
1.2900000000000e+03,8.4236405690308e+01
1.3000000000000e+03,8.4464350673929e+01
1.3100000000000e+03,8.2352948667263e+01
1.3200000000000e+03,8.1693463948020e+01
1.3300000000000e+03,8.1902881418405e+01
1.3400000000000e+03,8.6188718191819e+01
1.3500000000000e+03,8.9332461866666e+01
1.3600000000000e+03,9.2424035173742e+01
1.3700000000000e+03,8.4030645464040e+01
1.3800000000000e+03,8.4885890880240e+01
1.3900000000000e+03,7.4289189222325e+01
1.4000000000000e+03,6.9189689322477e+01
1.4100000000000e+03,7.6528062796317e+01
1.4200000000000e+03,7.5971043351166e+01
1.4300000000000e+03,7.7638126777124e+01
1.4400000000000e+03,8.6661553959882e+01
1.4500000000000e+03,7.4497159704678e+01
1.4600000000000e+03,8.3129034073975e+01
1.4700000000000e+03,6.8390467265843e+01
1.4800000000000e+03,9.1398666302024e+01
1.4900000000000e+03,8.3486133062197e+01
1.5000000000000e+03,7.8985203421339e+01
1.5100000000000e+03,8.2195256597723e+01
1.5200000000000e+03,8.3097919215521e+01
1.5300000000000e+03,6.9734635698692e+01
1.5400000000000e+03,7.7948727525424e+01
1.5500000000000e+03,7.5587920770648e+01
1.5600000000000e+03,7.5253648464638e+01
1.5700000000000e+03,7.6422972339248e+01
1.5800000000000e+03,8.1174825280368e+01
1.5900000000000e+03,8.9202035269867e+01
1.6000000000000e+03,8.4455243437238e+01
1.6100000000000e+03,9.2141927653239e+01
1.6200000000000e+03,9.3710346161799e+01
1.6300000000000e+03,8.7122264295899e+01
1.6400000000000e+03,9.1170360131250e+01
1.6500000000000e+03,9.0391980056270e+01
1.6600000000000e+03,7.6653623455187e+01
1.6700000000000e+03,6.5836849216254e+01
1.6800000000000e+03,7.5755883917207e+01
1.6900000000000e+03,8.1413502619895e+01
1.7000000000000e+03,7.4138559512190e+01
1.7100000000000e+03,7.5904975529717e+01
1.7200000000000e+03,8.5436573628401e+01
1.7300000000000e+03,9.4155597048817e+01
1.7400000000000e+03,9.1322049265789e+01
1.7500000000000e+03,8.1707327908019e+01
1.7600000000000e+03,8.0638315325506e+01
1.7700000000000e+03,7.5372060109950e+01
1.7800000000000e+03,8.8494648887221e+01
1.7900000000000e+03,9.4950244737340e+01
1.8000000000000e+03,8.1823508275228e+01
1.8100000000000e+03,7.2192373504436e+01
1.8200000000000e+03,7.0484162728836e+01
1.8300000000000e+03,7.0844877220055e+01
1.8400000000000e+03,7.5839973230254e+01
1.8500000000000e+03,7.7137451538053e+01
1.8600000000000e+03,8.3137901920692e+01
1.8700000000000e+03,8.2903031605152e+01
1.8800000000000e+03,7.8534869570241e+01
1.8900000000000e+03,8.9771768311287e+01
1.9000000000000e+03,8.7577172597832e+01
1.9100000000000e+03,7.1451821900009e+01
1.9200000000000e+03,7.2626721494523e+01
1.9300000000000e+03,7.4540925048940e+01
1.9400000000000e+03,7.1852482628186e+01
1.9500000000000e+03,8.6382658972861e+01
1.9600000000000e+03,7.4826768102084e+01
1.9700000000000e+03,6.9522425733069e+01
1.9800000000000e+03,7.0722063130637e+01
1.9900000000000e+03,8.1276347982584e+01
2.0000000000000e+03,9.5452171861464e+01
2.0100000000000e+03,8.7318379221523e+01
2.0200000000000e+03,8.8588445721997e+01
2.0300000000000e+03,8.8609384452876e+01
2.0400000000000e+03,8.4506493939825e+01
2.0500000000000e+03,8.6638658364089e+01
2.0600000000000e+03,8.3019975638614e+01
2.0700000000000e+03,7.2866191405097e+01
2.0800000000000e+03,8.1547563405477e+01
2.0900000000000e+03,7.7412311154011e+01
2.1000000000000e+03,8.6829136187174e+01
2.1100000000000e+03,8.1688909563395e+01
2.1200000000000e+03,8.0664677316463e+01
2.1300000000000e+03,8.4266217071579e+01
2.1400000000000e+03,8.6547450868423e+01
2.1500000000000e+03,8.3512501426278e+01
2.1600000000000e+03,6.3489588899612e+01
2.1700000000000e+03,7.9066767491054e+01
2.1800000000000e+03,7.8271941833744e+01
2.1900000000000e+03,7.1107877047809e+01
2.2000000000000e+03,8.2896474308752e+01
2.2100000000000e+03,8.2652830219319e+01
2.2200000000000e+03,7.1740125137074e+01
2.2300000000000e+03,8.1273348061031e+01
2.2400000000000e+03,8.2786707779480e+01
2.2500000000000e+03,7.8738756816422e+01
2.2600000000000e+03,8.2282050037230e+01
2.2700000000000e+03,8.5661334700277e+01
2.2800000000000e+03,6.4554752684359e+01
2.2900000000000e+03,8.0787249396287e+01
2.3000000000000e+03,8.2685479944106e+01
2.3100000000000e+03,8.6594496506300e+01
2.3200000000000e+03,7.5487143851170e+01
2.3300000000000e+03,8.1837247098925e+01
2.3400000000000e+03,8.5238993951046e+01
2.3500000000000e+03,9.1028479336410e+01
2.3600000000000e+03,7.7630488501025e+01
2.3700000000000e+03,7.7088774668531e+01
2.3800000000000e+03,8.0022548122946e+01
2.3900000000000e+03,7.3681797279673e+01
2.4000000000000e+03,6.7993036770973e+01
2.4100000000000e+03,7.5061522367102e+01
2.4200000000000e+03,7.4525467072420e+01
2.4300000000000e+03,7.5416517900033e+01
2.4400000000000e+03,9.0496063744624e+01
2.4500000000000e+03,8.3395544265361e+01
2.4600000000000e+03,8.4604192536189e+01
2.4700000000000e+03,7.9721714839125e+01
2.4800000000000e+03,7.9631509681001e+01
2.4900000000000e+03,8.2167981612725e+01
2.5000000000000e+03,8.1492883777512e+01
2.5100000000000e+03,8.1597340144403e+01
2.5200000000000e+03,7.8943909607570e+01
2.5300000000000e+03,8.2306381147046e+01
2.5400000000000e+03,7.0909775869221e+01
2.5500000000000e+03,8.3959219798714e+01
2.5600000000000e+03,6.7183671676741e+01
2.5700000000000e+03,8.6335518427007e+01
2.5800000000000e+03,8.7843310462826e+01
2.5900000000000e+03,8.8499293740022e+01
2.6000000000000e+03,8.2936358342963e+01
2.6100000000000e+03,8.0805414828158e+01
2.6200000000000e+03,8.1962648539406e+01
2.6300000000000e+03,8.1301124508763e+01
2.6400000000000e+03,8.2471558804543e+01
2.6500000000000e+03,8.8253901334439e+01
2.6600000000000e+03,8.2282113073029e+01
2.6700000000000e+03,7.6334545488986e+01
2.6800000000000e+03,7.6081414536728e+01
2.6900000000000e+03,7.3328547923072e+01
2.7000000000000e+03,8.5730452549284e+01
2.7100000000000e+03,8.3948830744370e+01
2.7200000000000e+03,9.4561669509430e+01
2.7300000000000e+03,8.4840957188121e+01
2.7400000000000e+03,7.6807151592032e+01
2.7500000000000e+03,8.1997627883138e+01
2.7600000000000e+03,6.7837506288762e+01
2.7700000000000e+03,7.1960348367116e+01
2.7800000000000e+03,7.9362463384745e+01
2.7900000000000e+03,7.8317330824709e+01
2.8000000000000e+03,7.6515207457760e+01
2.8100000000000e+03,8.4959593756979e+01
2.8200000000000e+03,7.8096246853922e+01
2.8300000000000e+03,8.1388985909492e+01
2.8400000000000e+03,7.0050207653870e+01
2.8500000000000e+03,7.9720227240677e+01
2.8600000000000e+03,8.0629588044944e+01
2.8700000000000e+03,9.2488503584694e+01
2.8800000000000e+03,7.0752014032125e+01
2.8900000000000e+03,7.4043787781154e+01
2.9000000000000e+03,7.5576249728038e+01
2.9100000000000e+03,7.9877254541324e+01
2.9200000000000e+03,7.8402321707204e+01
2.9300000000000e+03,9.3923271460137e+01
2.9400000000000e+03,7.9498646820966e+01
2.9500000000000e+03,7.9958194014001e+01
2.9600000000000e+03,7.8077626227181e+01
2.9700000000000e+03,7.9235074072182e+01
2.9800000000000e+03,6.2722907874785e+01
2.9900000000000e+03,7.9075354633361e+01
3.0000000000000e+03,8.4778442169054e+01
3.0100000000000e+03,9.7799662832303e+01
3.0200000000000e+03,8.1088823554339e+01
3.0300000000000e+03,7.9625194397586e+01
3.0400000000000e+03,7.8882225644261e+01
3.0500000000000e+03,7.0355641329329e+01
3.0600000000000e+03,7.8095103134892e+01
3.0700000000000e+03,7.8059820171136e+01
3.0800000000000e+03,8.1005709676901e+01
3.0900000000000e+03,8.0351477923963e+01
3.1000000000000e+03,8.2272371576872e+01
3.1100000000000e+03,7.5944426712849e+01
3.1200000000000e+03,7.8817621598869e+01
3.1300000000000e+03,7.2391775781548e+01
3.1400000000000e+03,7.3511365686225e+01
3.1500000000000e+03,7.5236070607814e+01
3.1600000000000e+03,9.0782392739853e+01
3.1700000000000e+03,8.0564542230992e+01
3.1800000000000e+03,8.0631684113168e+01
3.1900000000000e+03,7.8712173384799e+01
3.2000000000000e+03,7.5255411913753e+01
3.2100000000000e+03,8.8950180357875e+01
3.2200000000000e+03,7.2525748943819e+01
3.2300000000000e+03,8.2973617577725e+01
3.2400000000000e+03,8.3986175215668e+01
3.2500000000000e+03,7.8072630332750e+01
3.2600000000000e+03,7.3707575144719e+01
3.2700000000000e+03,7.9813599137802e+01
3.2800000000000e+03,7.7837013110885e+01
3.2900000000000e+03,8.0753653799820e+01
3.3000000000000e+03,8.2700911576461e+01
3.3100000000000e+03,7.1395817545633e+01
3.3200000000000e+03,7.8678191579659e+01
3.3300000000000e+03,8.2186640927440e+01
3.3400000000000e+03,7.2007282144521e+01
3.3500000000000e+03,7.8928114529593e+01
3.3600000000000e+03,7.7934693534267e+01
3.3700000000000e+03,8.0834771456440e+01
3.3800000000000e+03,8.3616918623903e+01
3.3900000000000e+03,7.8665180944838e+01
3.4000000000000e+03,7.5944876216053e+01
3.4100000000000e+03,7.7032970549762e+01
3.4200000000000e+03,8.1912314507627e+01
3.4300000000000e+03,9.2531445054917e+01
3.4400000000000e+03,8.3215736758529e+01
3.4500000000000e+03,7.6108185000714e+01
3.4600000000000e+03,6.2798245344142e+01
3.4700000000000e+03,7.7661877548448e+01
3.4800000000000e+03,8.0164259320792e+01
3.4900000000000e+03,8.0485928899307e+01
3.5000000000000e+03,8.0879454513962e+01
3.5100000000000e+03,8.3745049216148e+01
3.5200000000000e+03,8.1632321686071e+01
3.5300000000000e+03,8.8417381529776e+01
3.5400000000000e+03,8.9347661338623e+01
3.5500000000000e+03,8.2788328328875e+01
3.5600000000000e+03,7.0183133653729e+01
3.5700000000000e+03,7.0824551517652e+01
3.5800000000000e+03,7.5605610339113e+01
3.5900000000000e+03,7.8157684351564e+01
3.6000000000000e+03,9.2130997964784e+01
3.6100000000000e+03,8.4435579917337e+01
3.6200000000000e+03,8.4366459292357e+01
3.6300000000000e+03,8.1177501409578e+01
3.6400000000000e+03,7.8859448428765e+01
3.6500000000000e+03,5.8094364075842e+01
3.6600000000000e+03,7.8246416784936e+01
3.6700000000000e+03,7.2160342959616e+01
3.6800000000000e+03,6.4839007718425e+01
3.6900000000000e+03,7.6841185588476e+01
3.7000000000000e+03,7.9663348382204e+01
3.7100000000000e+03,7.7444890021798e+01
3.7200000000000e+03,7.9934297798302e+01
3.7300000000000e+03,8.3493614551265e+01
3.7400000000000e+03,7.4309826559978e+01
3.7500000000000e+03,8.0473886480075e+01
3.7600000000000e+03,9.0916942821096e+01
3.7700000000000e+03,8.4507966476476e+01
3.7800000000000e+03,8.1585967657625e+01
3.7900000000000e+03,9.0544823245470e+01
3.8000000000000e+03,8.8937451818116e+01
3.8100000000000e+03,8.0008038882547e+01
3.8200000000000e+03,7.4762932796020e+01
3.8300000000000e+03,8.1828397240622e+01
3.8400000000000e+03,8.5172059825647e+01
3.8500000000000e+03,8.3157744129700e+01
3.8600000000000e+03,7.1385349428315e+01
3.8700000000000e+03,7.5688355081537e+01
3.8800000000000e+03,8.1653287558030e+01
3.8900000000000e+03,7.3505741681428e+01
3.9000000000000e+03,8.1469325694062e+01
3.9100000000000e+03,8.1300282730605e+01
3.9200000000000e+03,8.0990748457315e+01
3.9300000000000e+03,7.4165446572195e+01
3.9400000000000e+03,7.7658066089301e+01
3.9500000000000e+03,8.2070869320361e+01
3.9600000000000e+03,8.1446208987804e+01
3.9700000000000e+03,6.8562275426834e+01
3.9800000000000e+03,8.3072243992081e+01
3.9900000000000e+03,8.8103706698281e+01
4.0000000000000e+03,7.9478232079332e+01
