"Frequency [Hz]","Function 2","DOMAIN InfiniteAcoustic1"
1.0000000000000e+01,6.0882607748259e-01,9.1824332547083e+01
2.0000000000000e+01,8.8191260841760e-01,9.3433655602864e+01
3.0000000000000e+01,1.8437400524542e+00,9.6636396988480e+01
4.0000000000000e+01,6.3108791431886e+00,1.0198029871948e+02
5.0000000000000e+01,3.1786258559158e+00,9.9001794204264e+01
6.0000000000000e+01,7.2840704281243e-01,9.2603141449160e+01
7.0000000000000e+01,2.7017722080267e-01,8.8295887386403e+01
8.0000000000000e+01,1.3086091724072e-01,8.5147499687364e+01
9.0000000000000e+01,7.4210330218966e-02,8.2684043727762e+01
1.0000000000000e+02,4.6752420033295e-02,8.0677441047341e+01
1.1000000000000e+02,3.1797274931362e-02,7.9003299106381e+01
1.2000000000000e+02,2.2948337273848e-02,7.7586912327958e+01
1.3000000000000e+02,1.7381646079563e-02,7.6380309113612e+01
1.4000000000000e+02,1.3714898077972e-02,7.5351325931726e+01
1.5000000000000e+02,1.1216405206813e-02,7.4477936990150e+01
1.6000000000000e+02,9.4748802509704e-03,7.3745137384814e+01
1.7000000000000e+02,8.2485894701962e-03,7.3143196981087e+01
1.8000000000000e+02,7.3915238853299e-03,7.2666739933136e+01
1.9000000000000e+02,6.8155545328373e-03,7.2314412057105e+01
2.0000000000000e+02,6.4709608254379e-03,7.2089087793260e+01
2.1000000000000e+02,6.3377563173236e-03,7.1998755455023e+01
2.2000000000000e+02,6.4256037283420e-03,7.2058539474566e+01
2.3000000000000e+02,6.7853323516600e-03,7.2295111333217e+01
2.4000000000000e+02,7.5471706844479e-03,7.2757241806425e+01
2.5000000000000e+02,9.0509354743352e-03,7.3546334774182e+01
2.6000000000000e+02,1.2471867947265e-02,7.4938715125464e+01
2.7000000000000e+02,2.7249690245835e-02,7.8333015785768e+01
2.8000000000000e+02,5.1713980303959e-03,7.1115479743598e+01
2.9000000000000e+02,7.5018780389476e-03,7.2731100080438e+01
3.0000000000000e+02,1.8720454634237e-02,7.6702564002292e+01
3.1000000000000e+02,3.4603907488914e-02,7.9370651509636e+01
3.2000000000000e+02,3.4313396351737e-02,7.9334037154725e+01
3.3000000000000e+02,1.8100869184722e-02,7.6556394384067e+01
3.4000000000000e+02,9.2003614282763e-03,7.3617448972375e+01
3.5000000000000e+02,5.6677608502660e-03,7.1513515256884e+01
3.6000000000000e+02,3.5280909945744e-03,6.9454797863597e+01
3.7000000000000e+02,2.5144052560178e-03,6.7983752845153e+01
3.8000000000000e+02,2.0368759104457e-03,6.7069045806029e+01
3.9000000000000e+02,1.9207004727538e-03,6.6813996519446e+01
4.0000000000000e+02,2.2154407272477e-03,6.7434001439137e+01
4.1000000000000e+02,3.2785045202236e-03,6.9136157954566e+01
4.2000000000000e+02,4.6519131328298e-03,7.0655716050369e+01
4.3000000000000e+02,2.5625706868796e-03,6.8066158626376e+01
4.4000000000000e+02,1.1443042453558e-03,6.4564815178424e+01
4.5000000000000e+02,6.7211854601810e-04,6.2253858878880e+01
4.6000000000000e+02,1.1441882129135e-03,6.4564374781522e+01
4.7000000000000e+02,4.3395941828112e-04,6.0353891270310e+01
4.8000000000000e+02,4.4363318924525e-04,6.0449640379591e+01
4.9000000000000e+02,5.1244678827594e-04,6.1075887842380e+01
5.0000000000000e+02,6.4385685423736e-04,6.2067293320489e+01
5.1000000000000e+02,8.7422934420933e-04,6.3395653885130e+01
5.2000000000000e+02,1.2969253565163e-03,6.5108549900098e+01
5.3000000000000e+02,2.1892677282796e-03,6.7382388839013e+01
5.4000000000000e+02,4.1067121544877e-03,7.0114342722516e+01
5.5000000000000e+02,1.7620724029699e-02,7.6439637581307e+01
5.6000000000000e+02,4.5608189180760e-02,8.0569828381062e+01
5.7000000000000e+02,5.6512031322873e-04,6.1500809269496e+01
5.8000000000000e+02,1.4341283238556e-03,6.5545280218232e+01
5.9000000000000e+02,1.1391098406162e-02,7.4545056123591e+01
6.0000000000000e+02,1.7660512808374e-01,8.6449433187071e+01
6.1000000000000e+02,6.2305273704201e-02,8.1924648168673e+01
6.2000000000000e+02,1.1797560500591e-02,7.4697322218543e+01
6.3000000000000e+02,2.2864602075548e-03,6.7571036562038e+01
6.4000000000000e+02,1.2906453374931e-03,6.5087469255080e+01
6.5000000000000e+02,1.0719953825351e-02,7.4281329233722e+01
6.6000000000000e+02,2.1739155562824e-02,7.7351826789868e+01
6.7000000000000e+02,5.8740822181102e-02,8.1668800296163e+01
6.8000000000000e+02,9.4528621042149e-03,7.3735033312420e+01
6.9000000000000e+02,3.5702791591337e-02,7.9506421834765e+01
7.0000000000000e+02,2.2426955479276e-02,7.7487103295892e+01
7.1000000000000e+02,1.1173924644746e-02,7.4461457468899e+01
7.2000000000000e+02,1.0742812171628e-02,7.4290579912231e+01
7.3000000000000e+02,2.7991003247420e-03,6.8449584733051e+01
7.4000000000000e+02,1.8272697886811e-02,7.6597426825081e+01
7.5000000000000e+02,2.1224554700061e-02,7.7247785960057e+01
7.6000000000000e+02,4.7282616459462e-03,7.0726415095923e+01
7.7000000000000e+02,2.7490959525953e-03,6.8371299071024e+01
7.8000000000000e+02,2.9416399904073e-03,6.8665295296310e+01
7.9000000000000e+02,5.7079615848681e-03,7.1544210502807e+01
8.0000000000000e+02,8.5698763022070e-04,6.3309145620239e+01
8.1000000000000e+02,2.4777923957133e-03,6.7920049244437e+01
8.2000000000000e+02,1.0207801966534e-02,7.4068722447282e+01
8.3000000000000e+02,1.6914985690150e-02,7.6262116433889e+01
8.4000000000000e+02,9.2845118627277e-02,8.3656990841257e+01
8.5000000000000e+02,9.2667708533089e-03,7.3648684326866e+01
8.6000000000000e+02,2.8408805942159e-03,6.8513929888353e+01
8.7000000000000e+02,3.1414553323544e-02,7.8950708976325e+01
8.8000000000000e+02,4.3086836537611e-03,7.0322846177594e+01
8.9000000000000e+02,2.4048813662296e-02,7.7790336659879e+01
9.0000000000000e+02,9.2726471457018e-01,9.3651437424558e+01
9.1000000000000e+02,3.7377790044890e-03,6.9705536288908e+01
9.2000000000000e+02,2.5308759130793e-03,6.8012108612242e+01
9.3000000000000e+02,2.2974153605615e-03,6.7591795291140e+01
9.4000000000000e+02,2.2152707689081e-03,6.7433668255768e+01
9.5000000000000e+02,3.2942492959611e-03,6.9156964704649e+01
9.6000000000000e+02,1.5313530414946e-02,7.5830153341174e+01
9.7000000000000e+02,1.5833263748845e-02,7.5975104549314e+01
9.8000000000000e+02,2.5911352347917e-03,6.8114300886556e+01
9.9000000000000e+02,5.4303324490334e-04,6.1327664269093e+01
1.0000000000000e+03,1.4007064841838e-04,5.5442871477735e+01
1.0100000000000e+03,3.8165074343336e-03,6.9796061213708e+01
1.0200000000000e+03,8.4697931306573e-03,7.3258128117641e+01
1.0300000000000e+03,8.1628616129167e-03,7.3097824425283e+01
1.0400000000000e+03,3.8735796703018e-03,6.9860525014691e+01
1.0500000000000e+03,2.7158032715147e-03,6.8318383158158e+01
1.0600000000000e+03,1.5474833939541e-02,7.5875660059747e+01
1.0700000000000e+03,3.4319329854467e-02,7.9334788075647e+01
1.0800000000000e+03,1.6937830001257e-02,7.6267977783712e+01
1.0900000000000e+03,1.2782434660687e-02,7.5045535901155e+01
1.1000000000000e+03,1.6790600022995e-02,7.6230062248827e+01
1.1100000000000e+03,7.6261988276675e-02,8.2802481325356e+01
1.1200000000000e+03,2.4331534141782e-02,7.7841095014214e+01
1.1300000000000e+03,1.3154138840402e-02,7.5170024301471e+01
1.1400000000000e+03,5.0497605953330e-03,7.1012107977629e+01
1.1500000000000e+03,3.5656888917680e-03,6.9500834567423e+01
1.1600000000000e+03,3.1408279664650e-03,6.8949841579769e+01
1.1700000000000e+03,2.8415759202691e-03,6.8514992725416e+01
1.1800000000000e+03,7.7330297414166e-02,8.2862896891602e+01
1.1900000000000e+03,1.1183838722672e-02,7.4465309043449e+01
1.2000000000000e+03,1.5623767359809e-03,6.5917257722914e+01
1.2100000000000e+03,2.1722486363036e-03,6.7348495419252e+01
1.2200000000000e+03,6.7951276264837e-03,7.2301376267615e+01
1.2300000000000e+03,1.1077504749750e-02,7.4423819535901e+01
1.2400000000000e+03,2.6051129471665e-03,6.8137665659689e+01
1.2500000000000e+03,2.4249492533783e-03,6.7826426632770e+01
1.2600000000000e+03,4.9337206710788e-03,7.0911145663829e+01
1.2700000000000e+03,1.5653184106748e-02,7.5925427019497e+01
1.2800000000000e+03,6.2686707723225e-02,8.1951154701655e+01
1.2900000000000e+03,3.2725022938339e-02,7.9128199683101e+01
1.3000000000000e+03,4.0225545746356e-02,8.0024419536252e+01
1.3100000000000e+03,3.0941440192616e-03,6.8884805330693e+01
1.3200000000000e+03,1.8873819173673e-03,6.6737997985150e+01
1.3300000000000e+03,1.7259643420104e-03,6.6349718277290e+01
1.3400000000000e+03,5.7046949253907e-03,7.1541724329281e+01
1.3500000000000e+03,1.8149755205420e-02,7.6568107805427e+01
1.3600000000000e+03,2.4521700214672e-02,7.7874905874161e+01
1.3700000000000e+03,7.2203629289180e-03,7.2564990364446e+01
1.3800000000000e+03,6.9465321498840e-03,7.2397080587245e+01
1.3900000000000e+03,1.1057938475706e-02,7.4416141779485e+01
1.4000000000000e+03,1.4215419731029e-03,6.5506996960667e+01
1.4100000000000e+03,1.4107505660682e-03,6.5473902418762e+01
1.4200000000000e+03,1.1228907244163e-03,6.4482775030527e+01
1.4300000000000e+03,2.0223575815426e-03,6.7037979561489e+01
1.4400000000000e+03,1.3889033256579e-02,7.5406120264799e+01
1.4500000000000e+03,2.5436900599520e-02,7.8034042015553e+01
1.4600000000000e+03,1.4395047715660e-02,7.5561531174564e+01
1.4700000000000e+03,9.6829480834382e-02,8.3839476119973e+01
1.4800000000000e+03,2.6550871967829e-02,7.8220187971629e+01
1.4900000000000e+03,1.1510789878425e-02,7.4590451349145e+01
1.5000000000000e+03,1.6904128846059e-02,7.6259328029931e+01
1.5100000000000e+03,1.3564475777922e-02,7.5303430230502e+01
1.5200000000000e+03,2.3725270689474e-02,7.7731511848093e+01
1.5300000000000e+03,4.2163353430737e-03,7.0228751535366e+01
1.5400000000000e+03,1.1457940172739e-02,7.4570465589371e+01
1.5500000000000e+03,4.3185136882293e-03,7.0332743091748e+01
1.5600000000000e+03,2.5750920487725e-03,6.8087327665384e+01
1.5700000000000e+03,4.3339111015040e-03,7.0348200073674e+01
1.5800000000000e+03,1.0108935206898e-02,7.4026454216199e+01
1.5900000000000e+03,2.3345494526251e-02,7.7661430866710e+01
1.6000000000000e+03,5.4218937670860e-03,7.1320910127280e+01
1.6100000000000e+03,3.8209001900869e-02,7.9801057018274e+01
1.6200000000000e+03,3.1416147355388e-02,7.8950929339691e+01
1.6300000000000e+03,9.8269817765286e-03,7.3903601593551e+01
1.6400000000000e+03,3.1200048899950e-02,7.8920952833623e+01
1.6500000000000e+03,1.9090789139755e-02,7.6787638894993e+01
1.6600000000000e+03,8.7966170310204e-03,7.3422556936365e+01
1.6700000000000e+03,1.2389081771287e-02,7.4909791280876e+01
1.6800000000000e+03,1.7062919521563e-03,6.6299933510736e+01
1.6900000000000e+03,6.8843650485100e-03,7.2358038997218e+01
1.7000000000000e+03,8.5089523605215e-03,7.3278161008303e+01
1.7100000000000e+03,3.7644214050866e-03,6.9736382428905e+01
1.7200000000000e+03,8.1020475204665e-03,7.3065347947692e+01
1.7300000000000e+03,3.8021025524077e-02,7.9779638353898e+01
1.7400000000000e+03,3.7563738567956e-02,7.9727088180018e+01
1.7500000000000e+03,2.6532528356020e-02,7.8217186457161e+01
1.7600000000000e+03,8.7525989976947e-03,7.3400770402953e+01
1.7700000000000e+03,1.2507165795654e-03,6.4950989155869e+01
1.7800000000000e+03,1.5715476507425e-02,7.5942675624258e+01
1.7900000000000e+03,6.7662268860504e-02,8.2282865651905e+01
1.8000000000000e+03,5.3650187373284e-03,7.1275112517502e+01
1.8100000000000e+03,1.6477297111284e-03,6.6148259814502e+01
1.8200000000000e+03,5.3219785946902e-03,7.1240131321331e+01
1.8300000000000e+03,5.1894420272135e-03,7.1130606733549e+01
1.8400000000000e+03,2.9907099974000e-03,6.8737143111600e+01
1.8500000000000e+03,4.5089026354522e-03,7.0520108659918e+01
1.8600000000000e+03,2.1332686772471e-02,7.7269855653392e+01
1.8700000000000e+03,1.3771205912041e-02,7.5369119807382e+01
1.8800000000000e+03,3.8665389842929e-03,6.9852624019726e+01
1.8900000000000e+03,2.6479977648762e-02,7.8208576228603e+01
1.9000000000000e+03,1.0619178837257e-02,7.4240309434743e+01
1.9100000000000e+03,1.3722605599577e-03,6.5353765901652e+01
1.9200000000000e+03,8.7012402208264e-03,7.3375211673451e+01
1.9300000000000e+03,1.3454062075352e-03,6.5267934358036e+01
1.9400000000000e+03,1.4123031160997e-02,7.5478679260122e+01
1.9500000000000e+03,6.1283240283478e-03,7.1852817287436e+01
1.9600000000000e+03,7.1326686661595e-03,7.2511920588808e+01
1.9700000000000e+03,9.3564954572344e-04,6.3690532197405e+01
1.9800000000000e+03,1.7777991676386e-03,6.6478227072001e+01
1.9900000000000e+03,4.7666076179991e-03,7.0761494114169e+01
2.0000000000000e+03,7.7300187871398e-02,8.2861205581067e+01
2.0100000000000e+03,7.8897280566830e-03,7.2950020428679e+01
2.0200000000000e+03,1.7341081945630e-02,7.6370161991801e+01
2.0300000000000e+03,1.3909225847483e-02,7.5412429675985e+01
2.0400000000000e+03,1.6135567305787e-02,7.6057242479156e+01
2.0500000000000e+03,3.9637388956709e-02,7.9960450470423e+01
2.0600000000000e+03,4.9351143569462e-03,7.0912372293079e+01
2.0700000000000e+03,2.2967653428467e-03,6.7590566349020e+01
2.0800000000000e+03,3.2381858082269e-03,6.9082417737727e+01
2.0900000000000e+03,7.9162897050947e-03,7.2964616879686e+01
2.1000000000000e+03,2.8064739447800e-02,7.8461010232695e+01
2.1100000000000e+03,9.1609781996849e-03,7.3598818583271e+01
2.1200000000000e+03,8.3082534530281e-03,7.3174497454004e+01
2.1300000000000e+03,9.3074028569249e-03,7.3667685207748e+01
2.1400000000000e+03,2.0902724142689e-02,7.7181428977995e+01
2.1500000000000e+03,4.6313609376165e-02,8.0636486370222e+01
2.1600000000000e+03,6.7939551068686e-02,8.2300626814822e+01
2.1700000000000e+03,2.7312734589523e-03,6.8343051931649e+01
2.1800000000000e+03,5.5813778849469e-03,7.1446814359175e+01
2.1900000000000e+03,5.4886530748691e-03,7.1374057895663e+01
2.2000000000000e+03,8.4491771251323e-03,7.3247544232530e+01
2.2100000000000e+03,3.1073620147008e-02,7.8903318611637e+01
2.2200000000000e+03,7.5300371074413e-03,7.2747371250477e+01
2.2300000000000e+03,8.8292126870196e-03,7.3438619873428e+01
2.2400000000000e+03,1.0512434253734e-02,7.4196433013468e+01
2.2500000000000e+03,2.6410218679221e-03,6.8197120058951e+01
2.2600000000000e+03,3.8023446165201e-03,6.9779914842395e+01
2.2700000000000e+03,6.8955034430219e-03,7.2365059883274e+01
2.2800000000000e+03,1.1999821723109e-02,7.4771148026159e+01
2.2900000000000e+03,7.9294883442001e-03,7.2971851737375e+01
2.3000000000000e+03,6.4880351738289e-03,7.2100532043385e+01
2.3100000000000e+03,2.0717626905561e-02,7.7142800164613e+01
2.3200000000000e+03,7.8006358422507e-03,7.2900700128402e+01
2.3300000000000e+03,4.6306585532994e-03,7.0635827676653e+01
2.3400000000000e+03,1.2564177913223e-02,7.4970740862062e+01
2.3500000000000e+03,2.9426566137128e-02,7.8666795947708e+01
2.3600000000000e+03,4.8164366215394e-03,7.0806658585435e+01
2.3700000000000e+03,5.8553373194635e-03,7.1654919280227e+01
2.3800000000000e+03,3.4827995002021e-03,6.9398684821362e+01
2.3900000000000e+03,2.6240478479957e-03,6.8169117585567e+01
2.4000000000000e+03,4.2486272676155e-03,7.0261886407457e+01
2.4100000000000e+03,2.8576948357033e-02,7.8539558586532e+01
2.4200000000000e+03,3.0017974309495e-03,6.8753213902538e+01
2.4300000000000e+03,1.2275325088601e-03,6.4869730110814e+01
2.4400000000000e+03,8.9395720085078e-03,7.3492567356567e+01
2.4500000000000e+03,1.3298203857908e-02,7.5217329949567e+01
2.4600000000000e+03,4.1135129653884e-02,8.0121528791699e+01
2.4700000000000e+03,7.1703813469431e-03,7.2534822623132e+01
2.4800000000000e+03,2.7499998508976e-03,6.8372726789553e+01
2.4900000000000e+03,2.5580219546991e-03,6.8058442762438e+01
